"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","29,910.8","37,642.0","40,021.0","26,500.5","4.67B","-20.56%"
"Apr 22","37,650.0","45,529.0","47,435.0","37,596.0","12.14B","-17.30%"
"Mar 22","45,525.0","43,187.2","48,199.0","37,182.1","43.70B","5.41%"
"Feb 22","43,188.2","38,475.6","45,755.2","34,357.4","1.82M","12.18%"
"Jan 22","38,498.6","46,217.5","47,944.9","32,985.6","2.03M","-16.70%"
"Dec 21","46,219.5","56,891.7","59,064.3","42,587.8","1.90M","-18.75%"
"Nov 21","56,882.9","61,310.1","68,990.6","53,448.3","1.85M","-7.22%"
"Oct 21","61,309.6","43,824.4","66,967.1","43,292.9","2.18M","39.90%"
"Sep 21","43,823.3","47,129.2","52,885.3","39,646.8","2.21M","-7.02%"
"Aug 21","47,130.4","41,510.0","50,498.8","37,365.4","2.14M","13.42%"
"Jul 21","41,553.7","35,030.7","42,285.3","29,310.2","2.44M","18.63%"
"Jun 21","35,026.9","37,294.3","41,318.0","28,901.8","4.14M","-6.09%"
"May 21","37,298.6","57,719.1","59,523.9","30,261.7","5.33M","-35.38%"
"Apr 21","57,720.3","58,763.2","64,778.0","47,098.5","2.97M","-1.78%"
"Mar 21","58,763.7","45,160.5","61,795.8","45,008.8","3.01M","30.11%"
"Feb 21","45,164.0","33,106.8","58,335.1","32,324.9","4.01M","36.41%"
"Jan 21","33,108.1","28,951.7","41,921.7","28,204.5","5.50M","14.37%"
"Dec 20","28,949.4","19,697.8","29,298.8","17,600.1","3.85M","46.97%"
"Nov 20","19,698.1","18,394.6","19,831.2","16,235.2","4.05M","42.77%"
"Oct 20","13,797.3","10,776.6","14,065.4","10,387.6","2.41M","28.04%"
"Sep 20","10,776.1","11,644.2","12,045.9","9,877.1","83.88M","-7.46%"
"Aug 20","11,644.2","11,333.2","12,444.1","10,730.7","15.39M","2.74%"
"Jul 20","11,333.4","10,961.1","11,434.8","10,771.8","13.21M","24.06%"
"Jun 20","9,135.4","9,454.5","10,301.8","8,865.3","15.35M","-3.38%"
