"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2022","0.085180","0.084428","0.086644","0.083853","347.18M","0.89%"
"May 21, 2022","0.084427","0.083892","0.085293","0.082574","327.66M","0.68%"
"May 20, 2022","0.083859","0.086643","0.087901","0.082608","732.84M","-3.23%"
"May 19, 2022","0.086661","0.083366","0.087415","0.081508","854.45M","3.95%"
"May 18, 2022","0.083366","0.090267","0.090967","0.083151","988.79M","-7.66%"
"May 17, 2022","0.090277","0.087985","0.091331","0.086973","1.01B","2.64%"
"May 16, 2022","0.087952","0.093191","0.093191","0.085903","1.05B","-5.63%"
"May 15, 2022","0.093197","0.089386","0.093197","0.086587","1.16B","4.26%"
"May 14, 2022","0.089386","0.088083","0.091874","0.083685","1.68B","1.47%"
"May 13, 2022","0.088090","0.082447","0.095103","0.082152","3.69B","6.78%"
"May 12, 2022","0.082498","0.084823","0.089624","0.068584","6.26B","-2.74%"
"May 11, 2022","0.084818","0.108044","0.110705","0.075829","7.18B","-21.43%"
"May 10, 2022","0.107958","0.101361","0.118172","0.099659","3.10B","6.48%"
"May 09, 2022","0.101385","0.124116","0.125198","0.101263","3.17B","-18.31%"
"May 08, 2022","0.124115","0.127451","0.128175","0.123157","1.14B","-2.63%"
"May 07, 2022","0.127464","0.127811","0.132207","0.124916","1.33B","-0.27%"
"May 06, 2022","0.127806","0.128132","0.129771","0.123792","1.40B","-0.22%"
"May 05, 2022","0.128090","0.135906","0.137688","0.126271","2.42B","-5.75%"
"May 04, 2022","0.135905","0.129415","0.136086","0.129008","1.44B","5.02%"
"May 03, 2022","0.129413","0.130799","0.131888","0.126586","903.77M","-1.06%"
"May 02, 2022","0.130802","0.132761","0.133896","0.127735","1.19B","-1.49%"
"May 01, 2022","0.132776","0.127440","0.136289","0.126110","1.77B","4.17%"
"Apr 30, 2022","0.127465","0.134927","0.136757","0.124521","1.82B","-5.52%"
"Apr 29, 2022","0.134912","0.137491","0.144982","0.133296","2.93B","-1.89%"
"Apr 28, 2022","0.137507","0.139976","0.143221","0.135475","2.20B","-1.76%"
"Apr 27, 2022","0.139966","0.137684","0.145590","0.135230","3.41B","1.66%"
"Apr 26, 2022","0.137684","0.157851","0.166093","0.136269","9.46B","-12.77%"
"Apr 25, 2022","0.157843","0.131732","0.169885","0.122725","10.48B","19.81%"
"Apr 24, 2022","0.131746","0.133811","0.134709","0.131198","749.44M","-1.53%"
"Apr 23, 2022","0.133795","0.136355","0.136716","0.133356","512.07M","-1.89%"
"Apr 22, 2022","0.136372","0.136210","0.138037","0.134792","833.46M","0.13%"
