"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","0.085284","0.127440","0.137688","0.068584","43.13B","-33.09%"
"Apr 22","0.127465","0.138077","0.179018","0.122725","90.41B","-7.70%"
"Mar 22","0.138099","0.133470","0.153500","0.110102","30.26B","3.47%"
"Feb 22","0.133469","0.141611","0.172657","0.107474","37.29B","-5.76%"
"Jan 22","0.141632","0.170297","0.211988","0.120493","60.27B","-16.83%"
"Dec 21","0.170297","0.214438","0.223029","0.133105","66.36B","-20.58%"
"Nov 21","0.214425","0.279974","0.296603","0.190079","66.55B","-23.40%"
"Oct 21","0.279928","0.204248","0.339122","0.201872","129.63B","37.04%"
"Sep 21","0.204272","0.278230","0.319579","0.194212","57.45B","-26.58%"
"Aug 21","0.278231","0.206723","0.347427","0.192766","118.42B","34.65%"
"Jul 21","0.206627","0.253113","0.259426","0.088727","73.53B","-18.38%"
"Jun 21","0.253155","0.323958","0.444100","0.164609","135.77B","-21.85%"
"May 21","0.323951","0.336657","0.738255","0.217528","363.27B","-3.77%"
"Apr 21","0.336635","0.053742","0.449889","0.053723","583.32B","526.37%"
"Mar 21","0.053744","0.048134","0.063510","0.047762","126.81B","11.67%"
"Feb 21","0.048129","0.036826","0.086356","0.029054","557.44B","30.64%"
"Jan 21","0.036841","0.004666","0.072000","0.006000","658.03B","689.54%"
"Dec 20","0.004666","0.003559","0.005463","0.003001","150.64B","31.39%"
"Nov 20","0.003551","0.002569","0.004287","0.002453","95.62B","38.28%"
"Oct 20","0.002568","0.002634","0.002905","0.002512","53.44B","-2.48%"
"Sep 20","0.002634","0.003210","0.003286","0.002533","86.00B","-17.96%"
"Aug 20","0.003210","0.003224","0.003839","0.003134","164.60B","-0.43%"
"Jul 20","0.003224","0.002314","0.005425","0.002282","255.67B","39.32%"
"Jun 20","0.002314","0.002573","0.002666","0.002277","101.30B","-10.07%"
