"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2022","2,006.94","1,975.12","2,037.23","1,966.34","269.27K","1.61%"
"May 15, 2022","1,975.12","2,056.33","2,161.78","1,903.67","5.27M","-3.95%"
"May 08, 2022","2,056.30","2,636.03","2,641.84","1,796.24","12.96M","-21.99%"
"May 01, 2022","2,636.03","2,727.20","2,963.54","2,589.29","4.88M","-3.34%"
"Apr 24, 2022","2,727.18","2,931.90","3,032.70","2,716.31","4.36M","-6.98%"
"Apr 17, 2022","2,931.90","3,058.96","3,176.69","2,887.25","3.67M","-4.15%"
"Apr 10, 2022","3,058.96","3,259.59","3,306.14","2,951.80","3.72M","-6.15%"
"Apr 03, 2022","3,259.35","3,442.34","3,579.82","3,143.96","4.36M","-5.32%"
"Mar 27, 2022","3,442.34","3,145.95","3,529.63","3,126.46","3.92M","9.42%"
"Mar 20, 2022","3,146.01","2,950.03","3,192.73","2,819.27","4.08M","6.65%"
"Mar 13, 2022","2,949.92","2,569.80","2,984.00","2,494.59","8.97B","14.79%"
"Mar 06, 2022","2,569.80","2,665.42","2,772.09","2,447.74","9.41B","-3.59%"
"Feb 27, 2022","2,665.42","2,779.55","3,041.84","2,562.94","2.81B","-4.02%"
"Feb 20, 2022","2,776.96","2,763.97","2,856.01","2,303.07","6.53M","0.48%"
"Feb 13, 2022","2,763.81","2,917.16","3,193.18","2,699.70","3.63M","-5.25%"
"Feb 06, 2022","2,917.10","3,013.75","3,277.36","2,858.85","3.93M","-3.21%"
"Jan 30, 2022","3,013.81","2,600.12","3,058.88","2,478.85","4.51M","15.91%"
"Jan 23, 2022","2,600.02","2,412.52","2,719.32","2,161.55","6.08M","7.77%"
"Jan 16, 2022","2,412.52","3,326.50","3,388.22","2,311.80","4.86M","-27.50%"
"Jan 09, 2022","3,327.74","3,079.89","3,407.98","2,931.68","3.54M","8.04%"
"Jan 02, 2022","3,080.02","3,765.67","3,889.07","3,001.76","4.24M","-18.21%"
"Dec 26, 2021","3,765.67","4,093.38","4,125.22","3,589.64","2.74M","-8.00%"
"Dec 19, 2021","4,093.14","3,959.90","4,149.17","3,757.42","3.17M","3.37%"
"Dec 12, 2021","3,959.83","4,078.17","4,173.21","3,649.69","4.52M","-2.84%"
"Dec 05, 2021","4,075.66","4,118.27","4,482.89","3,836.92","5.12M","-1.16%"
"Nov 28, 2021","4,123.46","4,095.16","4,778.14","3,533.02","5.20M","0.70%"
"Nov 21, 2021","4,094.80","4,409.02","4,549.74","3,917.43","5.03M","-7.12%"
"Nov 14, 2021","4,408.85","4,644.40","4,769.38","3,958.44","4.53M","-5.08%"
"Nov 07, 2021","4,644.61","4,517.27","4,864.06","4,498.78","3.86M","2.82%"
"Oct 31, 2021","4,517.36","4,322.00","4,661.88","4,157.51","3.71M","4.55%"
"Oct 24, 2021","4,320.65","4,168.80","4,458.30","3,896.33","4.93M","3.64%"
"Oct 17, 2021","4,168.85","3,827.55","4,366.91","3,664.63","4.80M","8.92%"
"Oct 10, 2021","3,827.55","3,574.52","3,967.43","3,381.43","4.74M","7.09%"
"Oct 03, 2021","3,574.20","3,388.83","3,668.35","3,273.22","5.38M","5.47%"
"Sep 26, 2021","3,388.97","2,922.47","3,467.95","2,740.12","7.07M","15.96%"
"Sep 19, 2021","2,922.55","3,435.92","3,455.67","2,659.71","9.60M","-14.94%"
"Sep 12, 2021","3,435.97","3,267.33","3,672.68","3,118.66","5.35M","5.16%"
"Sep 05, 2021","3,267.33","3,885.40","3,981.22","3,061.30","8.18M","-15.90%"
"Aug 29, 2021","3,884.97","3,243.96","4,024.89","3,145.53","7.84M","19.76%"
"Aug 22, 2021","3,243.90","3,224.17","3,375.42","3,057.48","5.48M","0.62%"
"Aug 15, 2021","3,223.96","3,264.56","3,334.22","2,951.04","5.70M","-1.25%"
"Aug 08, 2021","3,264.69","3,158.30","3,328.38","2,899.24","7.31M","3.38%"
"Aug 01, 2021","3,158.00","2,530.94","3,169.74","2,445.49","7.30M","24.71%"
"Jul 25, 2021","2,532.19","2,166.98","2,551.68","2,108.74","7.54M","17.67%"
"Jul 18, 2021","2,151.85","1,898.01","2,162.29","1,720.70","7.25M","13.38%"
"Jul 11, 2021","1,897.98","2,110.90","2,173.34","1,851.97","4.92M","-10.10%"
"Jul 04, 2021","2,111.12","2,224.70","2,402.68","2,066.09","9.93M","-5.11%"
"Jun 27, 2021","2,224.70","1,830.42","2,281.55","1,808.59","11.33M","21.53%"
"Jun 20, 2021","1,830.62","2,166.30","2,276.83","1,707.24","13.62M","-15.52%"
"Jun 13, 2021","2,166.91","2,368.68","2,637.90","2,142.74","9.96M","-8.51%"
"Jun 06, 2021","2,368.47","2,628.43","2,842.88","2,260.80","9.63M","-9.91%"
"May 30, 2021","2,628.98","2,276.97","2,889.19","2,181.93","16.66M","15.51%"
"May 23, 2021","2,276.07","2,292.68","2,908.37","1,739.91","19.94M","-0.68%"
