"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","2,006.94","2,727.20","2,963.54","1,796.24","21.97M","-26.41%"
"Apr 22","2,727.18","3,282.33","3,579.82","2,716.31","16.66M","-16.91%"
"Mar 22","3,282.35","2,922.44","3,481.23","2,447.74","18.38B","12.31%"
"Feb 22","2,922.50","2,686.82","3,277.36","2,303.07","18.06M","8.77%"
"Jan 22","2,686.82","3,677.69","3,889.07","2,161.55","19.15M","-26.95%"
"Dec 21","3,677.85","4,628.72","4,778.14","3,533.02","18.28M","-20.55%"
"Nov 21","4,628.90","4,287.41","4,864.06","3,917.43","17.12M","7.96%"
"Oct 21","4,287.56","2,999.86","4,458.30","2,972.75","21.57M","42.89%"
"Sep 21","3,000.59","3,429.65","4,024.89","2,659.71","30.69M","-12.54%"
"Aug 21","3,430.74","2,530.94","3,467.42","2,445.49","26.43M","35.49%"
"Jul 21","2,532.19","2,274.50","2,551.68","1,720.70","33.53M","11.36%"
"Jun 21","2,273.84","2,707.94","2,889.19","1,707.24","51.29M","-16.05%"
"May 21","2,708.47","2,772.27","4,366.10","1,739.91","81.40M","-2.32%"
"Apr 21","2,772.78","1,918.82","2,797.61","1,897.38","61.47M","44.57%"
"Mar 21","1,917.99","1,418.91","1,945.40","1,411.55","50.74M","35.19%"
"Feb 21","1,418.76","1,312.69","2,040.79","1,272.09","53.76M","8.08%"
"Jan 21","1,312.73","735.87","1,474.68","715.15","79.04M","78.37%"
"Dec 20","735.94","616.78","757.11","530.88","300.29M","19.49%"
"Nov 20","615.92","386.36","621.70","370.96","437.16M","59.39%"
"Oct 20","386.42","359.50","420.12","334.11","209.52M","7.52%"
"Sep 20","359.39","433.89","488.24","314.13","410.26M","-17.17%"
"Aug 20","433.90","346.48","444.86","335.76","246.93M","25.22%"
"Jul 20","346.51","225.61","349.34","223.53","237.53M","53.58%"
"Jun 20","225.63","231.80","253.21","217.11","220.37M","-2.67%"
